"Number of maps","EmptySmallMaps","EmptyHashMaps","OneSmallMaps","OneHashMaps","PairSmallMaps","PairHashMaps"
0,0,0,0,0,0,0
1000,32000,48000,232000,264000,336000,400000
2000,64000,96000,464000,528000,672000,800000
3000,96000,144000,696000,792344,1008000,1200000
4000,128000,192000,928000,1056000,1344000,1600000
5000,160000,240000,1160000,1320000,1680000,2000000
6000,192000,288000,1392000,1584000,2016000,2400000
7000,224000,336000,1624000,1848000,2352000,2800000
8000,256000,384000,1856000,2112000,2688000,3200000
9000,288000,432000,2088000,2376000,3024000,3600000
10000,320000,480000,2320000,2640000,3360000,4000000
11000,352000,528000,2552000,2904000,3696000,4400000
12000,384000,576000,2784000,3168000,4032000,4800000
13000,416000,624000,3016000,3432000,4368000,5200000
14000,448000,672000,3248000,3696000,4704000,5600000
15000,480000,720000,3480000,3960000,5040000,6000000
16000,512000,768000,3712000,4224000,5376000,6400000
17000,544000,816000,3944000,4488000,5712000,6800000
18000,576000,864000,4176000,4752000,6048000,7200000
19000,608000,912000,4408000,5016000,6384000,7600000
20000,640000,960000,4640000,5280000,6720000,8000000
21000,672000,1008000,4872000,5544000,7056000,8400000
22000,704000,1056000,5104000,5808000,7392000,8800000
23000,736000,1104000,5336000,6072000,7728000,9200000
24000,768000,1152000,5568000,6336000,8064000,9600000
25000,800000,1200000,5800000,6600000,8400000,10000000
26000,832000,1248000,6032000,6864000,8736000,10400000
27000,864000,1296000,6264000,7128000,9072000,10800000
28000,896000,1344000,6496000,7392000,9408000,11200000
29000,928000,1392000,6728000,7656000,9744000,11600000
30000,960000,1440000,6960000,7920000,10080000,12000000
31000,992000,1488000,7192000,8184000,10416000,12400000
32000,1024000,1536000,7424000,8448000,10752000,12800000
33000,1056000,1584000,7656000,8712000,11088000,13200000
34000,1088000,1632000,7888000,8976000,11424000,13600000
35000,1120000,1680000,8120000,9240000,11760000,14000000
36000,1152000,1728000,8352000,9504000,12096000,14400000
37000,1184000,1776000,8584000,9768000,12432000,14800000
38000,1216000,1824000,8816000,10032000,12768000,15200000
39000,1248000,1872000,9048000,10296000,13104000,15600000
40000,1280000,1920000,9280000,10560000,13440000,16000000
41000,1312000,1968000,9512000,10824000,13776000,16400000
42000,1344000,2016000,9744000,11088000,14112000,16800000
43000,1376000,2064000,9976000,11352000,14448000,17200000
44000,1408000,2112000,10208000,11616000,14784000,17600000
45000,1440000,2160000,10440000,11880000,15120000,18000000
46000,1472000,2208000,10672000,12144000,15456000,18400000
47000,1504000,2256000,10904000,12408000,15792000,18800000
48000,1536000,2304000,11136000,12672000,16128000,19200000
49000,1568000,2352000,11368000,12936000,16464000,19600000
50000,1600000,2400000,11600000,13200000,16800000,20000000
51000,1632000,2448000,11832000,13464000,17136000,20400000
52000,1664000,2496000,12064000,13728000,17472000,20800000
53000,1696000,2544000,12296000,13992000,17808000,21200000
54000,1728000,2592000,12528000,14256000,18144000,21600000
55000,1760000,2640000,12760000,14520000,18480000,22000000
56000,1792000,2688000,12992000,14784000,18816000,22400000
57000,1824000,2736000,13224000,15048000,19152000,22800000
58000,1856000,2784000,13456000,15312000,19488000,23200000
59000,1888000,2832000,13688000,15576000,19824000,23600000
60000,1920000,2880000,13920000,15840000,20160000,24000000
61000,1952000,2928000,14152000,16104000,20496000,24400000
62000,1984000,2976000,14384000,16368000,20832000,24800000
63000,2016000,3024000,14616000,16632000,21168000,25200000
64000,2048000,3072000,14848000,16896000,21504000,25600000
65000,2080000,3120000,15080000,17160000,21840000,26000000
66000,2112000,3168000,15312000,17424000,22176000,26400000
67000,2144000,3216000,15544000,17688000,22512000,26800000
68000,2176000,3264000,15776000,17952000,22848000,27200000
69000,2208000,3312000,16008000,18216000,23184000,27600000
70000,2240000,3360000,16240000,18480000,23520000,28000000
71000,2272000,3408000,16472000,18744000,23856000,28400000
72000,2304000,3456000,16704000,19008000,24192000,28800000
73000,2336000,3504000,16936000,19272000,24528000,29200000
74000,2368000,3552000,17168000,19536000,24864000,29600000
75000,2400000,3600000,17400000,19800000,25200000,30000000
76000,2432000,3648000,17632000,20064000,25536000,30400000
77000,2464000,3696000,17864000,20328000,25872000,30800000
78000,2496000,3744000,18096000,20592000,26208000,31200000
79000,2528000,3792000,18328000,20856000,26544000,31600000
80000,2560000,3840000,18560000,21120000,26880000,32000000
81000,2592000,3888000,18792000,21384000,27216000,32400000
82000,2624000,3936000,19024000,21648000,27552000,32800000
83000,2656000,3984000,19256000,21912000,27888000,33200000
84000,2688000,4032000,19488000,22176000,28224000,33600000
85000,2720000,4080000,19720000,22440000,28560000,34000000
86000,2752000,4128000,19952000,22704000,28896000,34400000
87000,2784000,4176000,20184000,22968000,29232000,34800000
88000,2816000,4224000,20416000,23232000,29568000,35200000
89000,2848000,4272000,20648000,23496000,29904000,35600000
90000,2880000,4320000,20880000,23760000,30240000,36000000
91000,2912000,4368000,21112000,24024000,30576000,36400000
92000,2944000,4416000,21344000,24288000,30912000,36800000
93000,2976000,4464000,21576000,24552000,31248000,37200000
94000,3008000,4512000,21808000,24816000,31584000,37600000
95000,3040000,4560000,22040000,25080000,31920000,38000000
96000,3072000,4608000,22272000,25344000,32256000,38400000
97000,3104000,4656000,22504000,25608000,32592000,38800000
98000,3136000,4704000,22736000,25872000,32928000,39200000
99000,3168000,4752000,22968000,26136000,33264000,39600000
