"Number of sets","EmptySmallSets","EmptyHashSets","OneSmallSets","OneHashSets","PairSmallSets","PairHashSets"
0,0,0,0,0,0,0
1000,16000,64000,120000,232000,176000,320000
2000,32000,128000,240000,464000,352000,640000
3000,48000,192000,360000,696088,528000,960000
4000,64000,256000,480112,928344,704000,1280000
5000,80000,320000,600000,1160000,880000,1600000
6000,96000,384000,720000,1392000,1056000,1920000
7000,112000,448000,840000,1624000,1232000,2240000
8000,128000,512000,960000,1856000,1408000,2560000
9000,144000,576000,1080000,2088000,1584000,2880000
10000,160000,640000,1200000,2320000,1760000,3200000
11000,176000,704000,1320000,2552000,1936000,3520000
12000,192000,768000,1440000,2784000,2112000,3840000
13000,208000,832000,1560000,3016000,2288000,4160000
14000,224000,896000,1680000,3248000,2464000,4480000
15000,240000,960000,1800000,3480000,2640000,4800000
16000,256000,1024000,1920000,3712000,2816000,5120000
17000,272000,1088000,2040000,3944000,2992000,5440000
18000,288000,1152000,2160000,4176000,3168000,5760000
19000,304000,1216000,2280000,4408000,3344000,6080000
20000,320000,1280000,2400000,4640000,3520000,6400000
21000,336000,1344000,2520000,4872000,3696000,6720000
22000,352000,1408000,2640000,5104000,3872000,7040000
23000,368000,1472000,2760000,5336000,4048000,7360000
24000,384000,1536000,2880000,5568000,4224000,7680000
25000,400000,1600000,3000000,5800000,4400000,8000000
26000,416000,1664000,3120000,6032000,4576000,8320000
27000,432000,1728000,3240000,6264000,4752000,8640000
28000,448000,1792000,3360000,6496000,4928000,8960000
29000,464000,1856000,3480000,6728000,5104000,9280000
30000,480000,1920000,3600000,6960000,5280000,9600000
31000,496000,1984000,3720000,7192000,5456000,9920000
32000,512000,2048000,3840000,7424000,5632000,10240000
33000,528000,2112000,3960000,7656000,5808000,10560000
34000,544000,2176000,4080000,7888000,5984000,10880000
35000,560000,2240000,4200000,8120000,6160000,11200000
36000,576000,2304000,4320000,8352000,6336000,11520000
37000,592000,2368000,4440000,8584000,6512000,11840000
38000,608000,2432000,4560000,8816000,6688000,12160000
39000,624000,2496000,4680000,9048000,6864000,12480000
40000,640000,2560000,4800000,9280000,7040000,12800000
41000,656000,2624000,4920000,9512000,7216000,13120000
42000,672000,2688000,5040000,9744000,7392000,13440000
43000,688000,2752000,5160000,9976000,7568000,13760000
44000,704000,2816000,5280000,10208000,7744000,14080000
45000,720000,2880000,5400000,10440000,7920000,14400000
46000,736000,2944000,5520000,10672000,8096000,14720000
47000,752000,3008000,5640000,10904000,8272000,15040000
48000,768000,3072000,5760000,11136000,8448000,15360000
49000,784000,3136000,5880000,11368000,8624000,15680000
50000,800000,3200000,6000000,11600000,8800000,16000000
51000,816000,3264000,6120000,11832000,8976000,16320000
52000,832000,3328000,6240000,12064000,9152000,16640000
53000,848000,3392000,6360000,12296000,9328000,16960000
54000,864000,3456000,6480000,12528000,9504000,17280000
55000,880000,3520000,6600000,12760000,9680000,17600000
56000,896000,3584000,6720000,12992000,9856000,17920000
57000,912000,3648000,6840000,13224000,10032000,18240000
58000,928000,3712000,6960000,13456000,10208000,18560000
59000,944000,3776000,7080000,13688000,10384000,18880000
60000,960000,3840000,7200000,13920000,10560000,19200000
61000,976000,3904000,7320000,14152000,10736000,19520000
62000,992000,3968000,7440000,14384000,10912000,19840000
63000,1008000,4032000,7560000,14616000,11088000,20160000
64000,1024000,4096000,7680000,14848000,11264000,20480000
65000,1040000,4160000,7800000,15080000,11440000,20800000
66000,1056000,4224000,7920000,15312000,11616000,21120000
67000,1072000,4288000,8040000,15544000,11792000,21440000
68000,1088000,4352000,8160000,15776000,11968000,21760000
69000,1104000,4416000,8280000,16008000,12144000,22080000
70000,1120000,4480000,8400000,16240000,12320000,22400000
71000,1136000,4544000,8520000,16472000,12496000,22720000
72000,1152000,4608000,8640000,16704000,12672000,23040000
73000,1168000,4672000,8760000,16936000,12848000,23360000
74000,1184000,4736000,8880000,17168000,13024000,23680000
75000,1200000,4800000,9000000,17400000,13200000,24000000
76000,1216000,4864000,9120000,17632000,13376000,24320000
77000,1232000,4928000,9240000,17864000,13552000,24640000
78000,1248000,4992000,9360000,18096000,13728000,24960000
79000,1264000,5056000,9480000,18328000,13904000,25280000
80000,1280000,5120000,9600000,18560000,14080000,25600000
81000,1296000,5184000,9720000,18792000,14256000,25920000
82000,1312000,5248000,9840000,19024000,14432000,26240000
83000,1328000,5312000,9960000,19256000,14608000,26560000
84000,1344000,5376000,10080000,19488000,14784000,26880000
85000,1360000,5440000,10200000,19720000,14960000,27200000
86000,1376000,5504000,10320000,19952000,15136000,27520000
87000,1392000,5568000,10440000,20184000,15312000,27840000
88000,1408000,5632000,10560000,20416000,15488000,28160000
89000,1424000,5696000,10680000,20648000,15664000,28480000
90000,1440000,5760000,10800000,20880000,15840000,28800000
91000,1456000,5824000,10920000,21112000,16016000,29120000
92000,1472000,5888000,11040000,21344000,16192000,29440000
93000,1488000,5952000,11160000,21576000,16368000,29760000
94000,1504000,6016000,11280000,21808000,16544000,30080000
95000,1520000,6080000,11400000,22040000,16720000,30400000
96000,1536000,6144000,11520000,22272000,16896000,30720000
97000,1552000,6208000,11640000,22504000,17072000,31040000
98000,1568000,6272000,11760000,22736000,17248000,31360000
99000,1584000,6336000,11880000,22968000,17424000,31680000
